id,qualification,preferred,skills
117508,"['개발', 'NODEJS', '설계', 'AWS', 'MYSQL', '관리', 'LINUX']","['LINUX', '개발', 'API', '컴퓨터 공학', 'CONFLUENCE', 'GIT', '설계', 'HTTP', '소켓', 'RDBMS', 'MYSQL', 'JIRA', '관리', '네트워크 운영', 'SLACK']","['LINUX', 'MYSQL', 'AWS']"
163381,[],[],"['ANDROID', 'IOS', '안드로이드 개발', 'IOS 개발', 'REACT NATIVE', 'FLUTTER']"
47270,['개발'],"['개발', '설계', '컴퓨터 공학']","['JAVA', 'JAVASCRIPT', 'PYTHON', 'TYPESCRIPT', 'AWS', 'GO', 'C++', 'SPRING FRAMEWORK']"
65954,"['임베디드 시스템', 'LINUX', 'C', 'RTOS']","['개발', 'SOC']","['C / C++', 'EMBEDDED LINUX', 'EMBEDDED C']"
19529,"['개발', '기술 개발', 'OPENCV', '영상']","['FLOW', '영상']",
128304,"['개발', '서버', 'KOTLIN', 'NODEJS', 'JAVA', 'API 개발', 'REST', 'GO', '관리', 'PHP']","['MONGODB', 'REDIS']","['ANDROID', 'MYSQL', 'C#', 'JAVA', 'NODE.JS', 'PHP', 'GO', 'C++', 'API', '서버 아키텍처', 'IOS 개발', '프론트엔드 개발자', '백엔드 개발']"
164580,"['JQUERY', 'JAVASCRIPT']",['VUEJS'],"['JAVASCRIPT', 'JQUERY', 'HTML5', 'CSS3']"
160966,"['JQUERY', 'JAVA', 'JAVASCRIPT', 'RDBMS']",['개발'],"['.NET', 'REACT', 'JAVASCRIPT', 'JQUERY', 'RDBMS', 'REACT.JS']"
163306,"['컴퓨터 공학', 'OPENSTACK', '인프라', '클라우드 보안', 'PYTHON', 'LINUX']","['개발', 'RUST', 'AWS', '인프라', 'PYTHON', 'GO', 'NGINX', 'KUBERNETES']","['PYTHON', '보안', '인프라', 'AWS']"
162177,[],"['SAP', 'PALANTIR', '데이터 분석', '시스템 구축', 'BI', 'TABLEAU']","['SAP', 'TABLEAU', 'QLIKVIEW', 'PALANTIR']"
118266,"['개발', 'KOTLIN', '컴퓨터 공학', '설계', '리팩토링', 'ANDROID']","['개발', 'ANDROID']","['GIT', 'ANDROID', 'IOS', 'JAVA', 'JAVASCRIPT', 'KOTLIN', 'PYTHON', 'SWIFT', 'TYPESCRIPT', 'MVVM', 'AWS', 'DOCKER', 'SPRING FRAMEWORK', 'ANDROID STUDIO', 'REACT.JS', 'FIGMA', 'KUBERNETES']"
141468,"['설계', '개발', 'JAVA']","['시스템 구축', '프레젠테이션']","['SAP', 'GIT', 'ANDROID', 'LINUX', 'ORACLE', 'C#', 'JAVA', 'JAVASCRIPT', 'KOTLIN', 'SQL', 'MVVM', 'UNIX', 'VM웨어', 'HTML5', '정보 보안', 'JENKINS', 'MAVEN', 'JSP', 'ORACLE SQL', 'SPRING FRAMEWORK', '리팩토링', 'ABAP', 'EAI', 'VMWARE INFRASTRUCTURE', 'SAP SD', 'SAP MM', 'SAP FI', 'MSSQL', 'SPRING BOOT']"
154682,"['TENSORFLOW', '개발', 'ML']",['개발'],"['AWS', 'SPRING FRAMEWORK']"
159227,"['API', 'POWER BI', '데이터 수집', '데이터베이스', 'PYTHON']","['설계', '분석 능력']","['C#', 'CSS', 'HTML', 'JAVASCRIPT', 'JQUERY']"
161719,"['EDA', '설계', '하드웨어', '관리']","['EDA', '개발', '하드웨어']","['LINUX', 'C / C++', 'PERL', 'PYTHON', 'FPGA', 'SOC', 'VERILOG', 'EMBEDDED LINUX', 'EDA', 'FPGA 프로토 타이핑']"
111404,"['개발', 'CSS', 'HTML']","['개발', 'FLUTTER']","['HTML', 'JAVASCRIPT', 'TYPESCRIPT', 'AWS', 'DOCKER', 'REACT.JS', 'NEXT.JS']"
99737,"['개발', 'GIT', '통신', '관리', 'HTTP', 'FLUTTER']","['JIRA', '개발', 'IOS', 'SPA', 'ANDROID', 'VUEJS', 'REACT', 'FLUTTER']",
151931,"['개발', '컴퓨터 공학', 'IT 운영', 'SAP MM', 'ABAP']","['SCM', '관리']","['.NET', 'REACT', 'C#', 'JAVA', 'JAVASCRIPT', 'SQL', 'JQUERY', 'JENKINS', 'SPRING FRAMEWORK']"
151703,"['개발', '컴퓨터 공학', '데이터 분석', 'TENSORFLOW', 'PYTORCH']",[],
89151,"['ABAP', 'SAP SD']",[],"['ABAP', 'SAP SD']"
155513,"['GOLANG', '개발', 'STORAGE']","['개발', 'RUST', 'C', 'POS', 'ETHEREUM']","['GIT', 'GITHUB', 'JIRA', 'PYTHON', 'C', 'GOLANG']"
152961,"['설계', '시스템 구축']",[],"['ANGULARJS', 'JAVA', 'JAVASCRIPT', 'SPRING FRAMEWORK', 'JPA', 'REACT.JS', 'VUE.JS']"
161453,"['개발', '웹 개발']",['개발'],
155759,[],['회로'],"['GIT', 'GITLAB', 'C#', 'PYTHON', '영상', 'OPENCV']"
113039,"['개발', 'JAVASCRIPT', 'NODEJS']","['개발', 'TYPESCRIPT', '설계', 'AWS', '시스템 구축']",
129646,[],['개발'],"['ANDROID', 'IOS', 'HTML', 'PYTHON', 'AWS', 'ANDROID STUDIO', 'FLUTTER']"
162661,"['API', '개발', 'JAVA', '설계']",[],"['ANDROID', 'IOS', 'MYSQL', 'JAVA', 'REACT NATIVE', 'SPRING BOOT']"
160763,"['개발', 'MYSQL', 'REST', 'JIRA', 'API', '3D', 'REDUX', 'JAVASCRIPT', 'MONGODB', 'NODEJS', 'AWS', 'OPENGL', 'EXPRESSJS', 'LINUX', 'TYPESCRIPT', 'GIT', 'REDIS', 'WEBGL', 'REACT']","['개발', '수학']","['LINUX', 'REACT', 'WEBGL', 'NODE.JS', 'AWS', 'WEBRTC']"
154130,"['KOTLIN', '컴퓨터 공학', 'SWIFT', '설계', '관리']","['개발', 'IOS', 'AGILE', '설계', 'ANDROID']","['PYTHON', 'C++', 'API', 'ORM', 'ROS', 'RESTFUL API']"
145580,"['개발', 'LINUX', 'PHP']","['개발', 'GIT', 'AWS', 'LARAVEL', 'REDIS']","['GIT', 'MYSQL', 'REACT', 'CSS', 'HTML', 'JAVASCRIPT', 'PHP', 'AWS', 'REST', 'APACHE']"
163967,['네트워크 보안'],"['CISA', '보안', 'CISSP']",
153508,['컴퓨터 공학'],"['일본어', '개발', '금융']","['GIT', 'DJANGO', 'FLASK', 'MYSQL', 'REACT', 'CSS', 'HTML', 'JAVA', 'JAVASCRIPT', 'NODE.JS', 'PYTHON', 'AWS', 'DOCKER', 'POSTGRESQL', 'REACT.JS', 'REACT NATIVE']"
149582,"['JIRA', '개발', 'TYPESCRIPT', 'HTML', 'BITBUCKET', 'CSS', 'REACT', '관리', 'JAVASCRIPT', 'GITHUB']","['설계', '서버', 'REACT', '개발']","['GITHUB', 'DJANGO', 'MYSQL', 'REACT', 'REDIS', 'CSS', 'HTML', 'JAVASCRIPT', 'PYTHON', 'TYPESCRIPT', 'AWS', 'FASTAPI']"
48527,['개발'],"['JIRA', 'SLACK']","['PYTHON', 'AWS', 'GO', 'HTML5', 'NEST.JS']"
139340,['관리'],['개발'],"['ANDROID', 'JAVA', 'KOTLIN']"
87917,"['개발', 'IOS', 'ANDROID', '관리', 'FLUTTER']","['개발', '설계', 'TDD', '최적화']","['GIT', 'GITHUB', 'JIRA', 'SLACK', 'JAVA', 'AWS', 'SPRING FRAMEWORK', 'ORM', 'NOTION']"
161509,"['개발', 'POSTGRESQL', 'SVN', 'GIT', 'JAVA', 'JSP', 'MSSQL', 'MYSQL', 'SQL', 'JQUERY', 'JAVASCRIPT']","['설계', '서버 관리']","['GITLAB', 'LINUX', 'JAVA', 'POSTGRESQL', 'SPRING FRAMEWORK']"
156965,"['개발', 'DOCKER', 'SQL', 'VUEJS', 'AZURE']","['개발', '컴퓨터 공학', 'PYTHON', 'PHP']","['GITHUB', 'HTML', 'JAVASCRIPT', 'VUE.JS']"
131159,"['개발', 'REDUX', '고객 중심', 'REACT', '관리', 'CSS']","['개발', '최적화']","['CONFLUENCE', 'GIT', 'JIRA', 'AWS']"
122244,['MFC'],"['GIT', '관리', 'SVN']","['GIT', 'LINUX', 'MYSQL', 'ORACLE', 'JAVA', 'JAVASCRIPT', 'C++', 'JQUERY', 'BOOTSTRAP', 'RDBMS', 'SVN', 'POSTGRESQL', 'JSTL', 'MFC', 'JSP 개발']"
164184,"['개발', '서버', 'NODEJS', '설계', '데이터베이스']","['ELASTICSEARCH', '서버', '인프라']","['GIT', 'JAVASCRIPT', 'NODE.JS', 'VUE.JS']"
160965,"['IOS', 'ANDROID']","['NOTION', 'JIRA', 'SLACK']","['JIRA', 'SLACK', 'NOTION']"
154715,"['개발', 'API', '서버', '데이터베이스', 'JAVA', 'SHELL', 'SPRING FRAMEWORK', 'REST', 'JAVASCRIPT', 'GITHUB']","['개발', 'DOCKER', '설계', 'GIT', '시스템 구축', 'JENKINS', 'AZURE']","['AWS', 'SPRING FRAMEWORK']"
154792,"['개발', 'NODEJS', '설계', 'AWS', 'JPA', 'NOSQL', 'STORAGE']","['ELASTICSEARCH', '개발', 'KOTLIN', 'TYPESCRIPT']","['PYTHON', '보안', '인프라', 'AWS']"
145530,"['개발', 'SPA', 'VUEJS', 'HTML5', 'CSS']","['개발', 'GIT', '시스템 구축', 'ANGULAR', 'REACT']","['VUEJS', 'PYTHON', 'SQL', '리팩토링', '백엔드 개발', 'SPRING BOOT']"
39804,"['API', '제품 개발', 'GIT', 'JAVA', 'RDBMS', 'NOSQL', 'SPRING FRAMEWORK']","['개발', '웹 개발', 'AWS', '의료 기기', '최적화', '관리', 'AZURE']","['VUEJS', 'WEBGL', 'JAVA', 'JAVASCRIPT', 'HTML5', 'NOSQL', 'CSS3', 'RDBMS', 'SPRING FRAMEWORK']"
134183,"['GIT', 'REACT']","['REACT', '최적화']","['REACT.JS', 'REDUX']"
112711,"['개발', 'POSTGRESQL', 'ORACLE', 'JAVA', 'RDBMS', '관리']","['설계', 'RDBMS', 'SPRING FRAMEWORK']","['LINUX', '보안', '인프라', '정보 보안', 'WINDOWS 서버', '정보관리', 'NAS', '솔루션 개발', '백신', 'DLP', '보안 정책', '보안 관리', '보안 교육']"
142552,"['개발', 'KOTLIN', 'GIT', '설계', '관리', '통신', 'MVVM', '인터페이스']",['RX'],"['DJANGO', 'FLASK', 'LINUX', 'MYSQL', 'ORACLE', 'NOSQL']"
152889,"['개발', 'JAVA', 'RESTFUL API', 'JSP 개발']","['개발', '소프트웨어 개발', 'AWS', 'GOLANG', '통신', 'JENKINS']","['GIT', 'IOS', 'LINUX', 'HTML', 'JAVA', 'OBJECTIVEC', 'AWS', 'JENKINS', 'VOIP', 'SPRING FRAMEWORK', '리눅스 서버', 'IOS 개발', 'APPLE SOFTWARE', 'SPRING BOOT', 'RESTFUL API']"
161592,['개발'],"['GITHUB', '개발', 'CONFLUENCE', '검증', 'JIRA', '프로세스 개선', 'SLACK']",
124999,"['설계', 'RDBMS', 'MYSQL']","['AWS', '관리']","['OBJECTIVEC', 'SWIFT', 'RX']"
147359,"['SCIPY', 'NUMPY', 'NOSQL']",['AWS'],"['GITHUB', 'MYSQL', 'HTML', 'JAVASCRIPT', 'PYTHON', 'SQL', 'AWS']"
149446,"['데이터 구조', '데이터 분석', 'SQL', 'PYTHON', '모델링']","['데이터 분석', '컴퓨터 공학']","['ORACLE', 'JAVA', 'JQUERY', 'SPRING BOOT']"
92390,"['REST', '개발', 'API', 'REACT']","['개발', 'SQL', 'HTML5', 'JAVASCRIPT', 'CSS']","['HADOOP', 'LINUX', 'REACT', 'C / C++', 'JAVASCRIPT', 'PYTHON', 'SQL', 'C++', 'DOCKER', 'SPRING FRAMEWORK', 'MSSQL', 'KUBERNETES']"
45268,['개발'],"['개발', '최적화', '수학']","['GIT', 'MYSQL', 'REDIS', 'NODE.JS', 'AWS', 'GCP']"
153263,['기술 개발'],"['개발', '데이터 분석', '임베디드 시스템']","['GIT', 'ANDROID', 'MYSQL', 'C / C++', 'PHP', 'PYTHON', 'SQL', 'C', 'AWS', 'C++', 'SPRING FRAMEWORK']"
155033,[],[],"['LINUX', 'MYSQL', 'ORACLE', 'PYTHON', 'NOSQL', 'ETL 도구']"
146582,"['제품 개발', 'PYTHON']","['개발', 'GCP', 'AWS', 'TENSORFLOW', 'PYTORCH']","['GIT', 'LINUX', 'PYTORCH', 'PYTHON', 'SQL', 'AWS']"
157291,"['개발', '설계']","['DELPHI', '개발', 'C']","['ANDROID', 'IOS', 'MYSQL', 'ORACLE', 'JAVA', 'JSP', 'SPRING BOOT']"
83909,"['SQL', '데이터 분석', 'PYTHON', 'ML']","['개발', '컴퓨터 공학', 'AWS', '수학', 'TABLEAU', 'NLP']",
156440,"['개발', 'HTML', '웹 개발', 'AJAX', '성능 측정', 'VUEJS', 'JAVASCRIPT', 'CSS', 'HTTP']","['SEO', '개발']",
111948,"['개발', 'IOS', 'API', 'SWIFT', 'REST']","['개발', 'MVVM', '최적화', '리팩토링']","['ANDROID', 'IOS', 'TYPESCRIPT', 'AWS', 'NODEJS', 'REACT.JS']"
127187,"['개발', 'C']","['기술 개발', '3D', '개발']",
129567,"['금융', 'COMMUNICATION']",[],"['HADOOP', 'ORACLE', 'JAVA', 'PYTHON', 'SPRING FRAMEWORK', '클라우드 응용 프로그램', 'OSS']"
94529,['NODEJS'],"['개발', '서버', 'API', 'DJANGO', '영상', 'PYTHON', 'REST', 'VUEJS']",
158785,"['개발', 'GIT', 'DOCKER', 'AWS', '관리']","['서버', 'AGILE', 'ML', 'TDD', 'PYTHON', 'FLASK', 'DEVOPS']",
148256,"['GIT', '개발', 'REACT', '관리']","['개발', '서버', '최적화', 'REDUX', 'UX', 'CSS']","['JAVASCRIPT', 'NODE.JS', 'TYPESCRIPT', 'BLOCKCHAIN', 'DOCKER', 'ORM', 'REACT NATIVE', 'KUBERNETES', 'REDUX', 'NEST.JS', 'TYPEFORM']"
160293,"['개발', 'AWS', 'NODEJS']","['개발', 'TYPESCRIPT', 'AWS', 'TENSORFLOW', 'PYTORCH', 'JAVASCRIPT', 'REACT']","['REACT', 'JAVASCRIPT', 'AWS', 'NODEJS']"
151526,"['개발', 'NODEJS', 'DOCKER', '소프트웨어 개발', '설계', 'AWS', 'TDD', 'RDBMS', 'NOSQL']","['JAVA', 'C']","['CONFLUENCE', 'JIRA', 'MAVEN', 'TESTNG']"
164618,"['개발', 'NOSQL', 'RESTFUL API']",[],"['ORACLE', 'JAVA', 'NOSQL', 'SPRING BOOT', 'RESTFUL API']"
152259,"['개발', 'IOS', 'KOTLIN', 'SWIFT', 'REACT NATIVE', 'ANDROID', 'REACT']","['개발', 'GIT', '리팩토링', 'REACT NATIVE', 'REACT', '관리']",
135015,"['개발', 'API', 'AWS', '서버']",['GIT'],"['GIT', 'DJANGO', '.NET', 'C#', 'JAVA', 'KOTLIN', 'PYTHON', 'SQL', 'AWS', 'SQL 서버', '서버', 'NODEJS', 'RESTFUL WEBSERVICES', 'SPRING BOOT', 'FLUTTER']"
163743,"['개발', '서버', 'AWS']","['개발', '보안', 'AAC', 'JAVA', 'OPENCV']",
101385,"['개발', 'JAVA', 'AWS', 'ELASTICSEARCH', 'SOLR', 'LINUX']","['개발', 'NODEJS', '설계', 'NOSQL', 'REDIS', 'VUEJS', 'REACT']","['MYSQL', 'JAVA', 'KOTLIN', 'JUNIT', 'JPA', 'SPRING BOOT']"
162905,"['개발', 'RDBMS', 'NODEJS', 'LINUX']","['AWS', 'POS', 'NOSQL', 'REDIS', 'IOT', '로봇']","['LINUX', 'MYSQL', 'JAVA', 'NODE.JS', 'AWS', 'DOCKER']"
142963,"['개발', 'IOS', 'JAVA', 'ANDROID', 'REACT']","['개발', '관리']",
122663,"['데이터 분석', '컴퓨터 공학', '수학', 'R']","['POSTGRESQL', '데이터 분석', 'EMR']","['GIT', 'PYTHON', 'R', 'DOCKER', 'POSTGRESQL']"
82833,"['개발', 'RESTFUL API', 'GIT', '설계', '웹 개발', 'RDBMS', 'NOSQL', 'JAVASCRIPT', '관리']","['개발', 'GRAPHQL', 'GIT', 'GCP', 'AWS', '프로젝트 관리', '관리']","['GRAPHQL', 'REACT', 'CSS', 'HTML', 'JAVA', 'JAVASCRIPT', 'TYPESCRIPT', 'NOSQL', 'RDBMS', 'ELASTICSEARCH', 'NODEJS', 'FIGMA', 'RESTFUL API']"
154778,[],[],"['REACT', 'JAVASCRIPT', 'API', 'SPRING FRAMEWORK', 'GIS', 'JPA']"
143726,"['개발', 'SPA', 'HTML', 'GIT', 'CSS', 'VUEJS', 'REACT', 'JAVASCRIPT']","['서버', '보안', '리팩토링', '금융', '최적화', '웹사이트']","['CONFLUENCE', 'GITLAB', 'JIRA', 'PYTHON', 'NLP']"
139368,"['개발', 'RESTFUL API']","['개발', '설계', '최적화', '리팩토링']","['GIT', 'ANDROID', 'REACT', 'KOTLIN', '안드로이드 개발', '안드로이드 SDK', 'ANDROID STUDIO', 'REACT NATIVE']"
153005,"['개발', 'GIT', '데이터베이스', '최적화', 'MYSQL', 'JAVASCRIPT', '관리', 'PHP']","['리눅스 서버', '웹 개발', 'MYSQL', '관리', 'PHP']","['LINUX', 'MYSQL', 'PHP']"
153318,"['개발', 'POSTGRESQL', '컴퓨터 공학', 'TYPESCRIPT', 'NODEJS', 'RESTFUL API', 'ORM', 'GIT', '데이터베이스', '설계', 'MYSQL', 'EXPRESSJS', '관리']","['개발', '서버', 'UBUNTU', 'DOCKER', '설계', 'GCP', 'AWS', 'TDD', '요구 사항 분석', 'VUEJS', 'REACT', '관리', 'AZURE']","['GIT', 'MYSQL', 'REACT', 'NODE.JS', 'TYPESCRIPT', 'POSTGRESQL', 'ORM']"
147929,"['API', 'REDUX', 'SASS', 'REST', 'HTML5', 'JAVASCRIPT', 'CSS']","['GIT', 'TYPESCRIPT']","['WORDPRESS', 'GIT', 'PHP', 'AWS']"
159981,"['REST', '개발', '금융', 'API 개발']",[],"['NODE.JS', 'AWS', 'POSTGRESQL']"
161277,['개발'],"['REDMINE', 'NOTION', '프로젝트 관리', 'JENKINS', 'SVN', '모바일 게임']",
147081,[],['OPENGL'],"['ANDROID', 'IOS', 'OPENGL', 'C++', 'LIDAR']"
156458,"['서버', '관리', 'CISCO', '네트워크 관리']","['서버', '보안']","['AWS', '네트워크 보안', '네트워크 운영']"
119218,"['GIT', '고객 중심', '관리']","['GIT', '개발', '설계', 'AWS']","['GIT', 'ANDROID', 'IOS', 'MYSQL', 'JAVASCRIPT', 'KOTLIN', 'NODE.JS', 'PHP', 'SWIFT', 'AWS', 'PRODUCT MANAGEMENT ', 'SPRING FRAMEWORK', 'QA 엔지니어링']"
111676,"['DEBUGGING', 'COMMUNICATION']","['SPI', 'EMBEDDED LINUX', 'C']","['LINUX', 'PYTHON', 'C', 'C++', 'SNMP', 'SSH', 'SPI', 'TCL', 'SONET', 'I2C', 'DWDM', 'RS232', 'OTN']"
147047,"['IOS', 'ANDROID']","['개발', '프로세스 개선']",
156009,"['개발', 'API', 'SPRING BOOT', 'TCP', '설계', 'JAVA', '통신']","['GIT', '개발', 'FLOW', '모델링']",
161611,"['개발', 'IOS', 'MAC', 'ANDROID', '검증']",[],
132680,"['서버', '하드웨어']",[],
