Key,Kalue
157302,"['GIT', 'GITHUB', 'ETHEREUM', 'HYPERLEDGER', 'JAVA', 'JAVASCRIPT', 'TYPESCRIPT', 'BLOCKCHAIN', 'AWS', 'GO', 'NODEJS', 'GOLANG', '백엔드 개발', 'AUDIT COMMAND LANGUAGE (ACL)', 'RESTFUL API']"
158605,
60611,"['REACT', 'JAVASCRIPT', 'TYPESCRIPT', 'REDUX']"
125807,
123470,"['GIT', 'GITHUB', 'GRAPHQL', 'PYTHON', 'AWS', 'POSTGRESQL']"
151612,"['JAVA', 'PYTHON', 'DOCKER']"
134285,"['ANDROID', 'MYSQL', 'C#', 'JAVA', 'NODE.JS', 'PHP', 'GO', 'C++', 'API', '서버 아키텍처', 'IOS 개발', '프론트엔드 개발자', '백엔드 개발']"
139811,"['GIT', 'ANDROID', 'LINUX', 'REACT', 'C / C++', 'HTML', 'JAVA', '펌웨어']"
164075,"['GIT', 'TYPESCRIPT', 'REACT NATIVE']"
112257,"['GITHUB', 'GRAPHQL', 'HADOOP', 'MONGODB', 'MYSQL', 'PYTORCH', 'REDIS', 'SPARK', 'TENSORFLOW', 'JAVA', 'KOTLIN', 'NODE.JS', 'OBJECTIVEC', 'PYTHON', 'RUBY', 'SWIFT', 'TYPESCRIPT', 'TABLEAU', 'C', 'GO', 'C++', 'REST', 'JENKINS', 'DOCKER', 'ELASTICSEARCH', 'REACT.JS', 'SPRING BOOT', 'KUBERNETES']"
146584,"['GIT', 'LINUX', 'PYTORCH', 'PYTHON', 'SQL', 'AWS']"
118132,"['MONGODB', 'JAVA', 'KOTLIN', 'PYTHON', 'SPRING FRAMEWORK']"
141865,"['GIT', 'C++', 'API']"
136284,"['서비스 디자인', 'ANDROID', 'IOS', 'REACT', 'JAVASCRIPT', 'PYTHON', '브랜딩', 'AWS', 'NOSQL', 'DOCKER', '그래픽 디자인', 'ADOBE PHOTOSHOP', 'SPRING FRAMEWORK', 'ADOBE ILLUSTRATOR', 'UI 디자인', 'FIGMA']"
163448,"['GITHUB', 'WEBGL', 'NODE.JS', 'AWS', 'C++', 'DOCKER', 'ELASTICSEARCH', 'GOOGLE APPS', 'QT', 'REACT.JS', 'NOTION', 'NEXT.JS', 'NEST.JS']"
159595,
155528,
161336,"['ANGULARJS', 'TYPESCRIPT']"
158178,
154790,
148653,"['AWS', 'BGP', 'KUBERNETES']"
163369,"['ANDROID', 'IOS', 'MYSQL', 'ORACLE', 'JAVA', 'JSP', 'SPRING BOOT']"
140834,"['GIT', 'GITHUB', 'SLACK', 'REACT', 'JAVASCRIPT', 'NODE.JS', 'SQL', 'TYPESCRIPT', 'DOCKER', 'NODEJS', 'VISUAL STUDIO CODE', 'NOTION', 'KUBERNETES', 'NEXT.JS', 'NEST.JS']"
142781,
71316,
150203,
121803,"['C / C++', 'PYTHON', '3D 모델링', 'LIDAR']"
140055,
153075,"['JAVA', 'AWS', 'VM웨어', '가상화', 'TOMCAT', 'NGINX', 'RAID']"
155945,"['JAVASCRIPT', 'TYPESCRIPT', 'REACT.JS', 'REACT NATIVE', 'NEXT.JS']"
143022,"['GIT', 'GITHUB', 'IOS', 'PYTHON', 'AWS', 'SPRING FRAMEWORK']"
58377,"['DJANGO', 'MYSQL', 'PYTHON', 'AWS', 'DOCKER']"
142065,
137940,"['AZURE', 'ASP .NET', 'C#', 'JAVA', 'PYTHON']"
128026,"['FLASK', 'REACT', 'PYTHON', 'TYPESCRIPT', 'AWS', 'DNS', 'DOCKER', 'RDBMS', 'POSTGRESQL', 'SPRING FRAMEWORK', 'JPA', 'NGINX', 'DBT', 'SPRING BOOT']"
160378,['GIT']
26706,"['FIREBASE', 'NODE.JS', 'TYPESCRIPT', 'AWS', 'DOCKER', 'REACT NATIVE', 'KUBERNETES']"
