Key,Value
134228,"['Git', 'Github', 'React', 'JavaScript', 'Python', 'AWS', 'Docker', 'PostgreSQL', 'Spring Framework', 'JPA']"
115294,"['Linux', 'C / C++', 'Python', 'IoT', 'C++', '펌웨어', 'ML']"
93070,"['Github', 'Pytorch', 'Spark', 'Python', 'AWS', 'Docker', 'Kubernetes']"
118481,"['BitBucket', 'React', 'TypeScript', 'AWS', 'Next.js']"
156387,"['Java', 'Kotlin', 'Scala', 'AWS', 'Spring Boot', 'Kubernetes']"
38344,
152971,"['AngularJS', 'Java', 'JavaScript', 'Spring Framework', 'JPA', 'React.js', 'Vue.JS']"
146910,"['Java', 'JavaScript', 'jQuery', 'RDBMS', 'Spring Framework']"
158496,"['Hadoop', 'Linux', 'React', 'C / C++', 'JavaScript', 'Python', 'SQL', 'C++', 'Docker', 'Spring Framework', 'MSSQL', 'Kubernetes']"
162463,"['Android', 'JavaScript', 'TypeScript', 'React.js', 'Redux', 'Next.js']"
102299,"['Django', 'React', 'Python', 'TypeScript', 'AWS', 'Docker', 'PostgreSQL', 'Next.js']"
162509,"['Android', 'Django', 'iOS', 'React', 'Node.js', 'Laravel', 'React Native', 'Spring Boot', 'Flutter', 'Nest.js']"
157624,
138121,"['MongoDB', 'Redis', 'JavaScript', 'Node.js', 'React.js', 'ES6', 'Next.js']"
165290,"['Git', 'Github', 'JIRA', 'Python', 'C', 'Golang']"
162994,
129996,"['Github', 'React.js', 'Kubernetes']"
144457,"['Django', 'React', 'AWS', 'React Native']"
135592,
139814,"['Git', 'Android', 'Linux', 'React', 'C / C++', 'HTML', 'Java', '펌웨어']"
164412,
125111,"['Git', 'Android', 'iOS', 'Java', 'JavaScript', 'Node.js', 'Python', 'OOP', 'AWS', 'SaaS']"
156429,"['Java', 'RDBMS', 'Spring Framework']"
131652,
141603,"['MySQL', 'React', 'HTML', 'JavaScript', 'TypeScript', 'C++', 'NoSQL', 'PostgreSQL']"
158928,"['Linux', 'Oracle', 'Java', 'JSP', 'Spring Boot']"
163322,['Git']
155156,"['Git', 'MySQL', 'Python', '개발', 'AWS', '솔루션 개발']"
164754,"['IP', '일본어']"
158883,"['Git', 'Github', 'Linux', 'MongoDB', 'MySQL', 'React', 'HTML', 'JavaScript', 'AWS', 'Docker']"
154341,
146181,"['Git', 'ExpressJS', 'React', 'CSS', 'HTML', 'JavaScript', 'TypeScript', 'AWS', 'NodeJS']"
143200,
127334,"['Git', 'VueJS', 'JavaScript', 'Node.js', 'TypeScript', 'AWS', 'React.js']"
160371,"['MySQL', 'CSS', 'HTML', 'JavaScript', '웹 개발', 'Apache']"
106024,"['Zeplin', 'Android', 'Ethereum', 'iOS', 'CSS', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'PHP', 'Swift', 'MVC', 'MVVM', 'API', 'NodeJS', 'Spring Framework', 'API 개발', 'Laravel', 'CakePHP', 'Figma']"
145632,"['MongoDB', 'Windows Embedded', 'Delphi', 'HTTP', 'RESTful Architecture']"
142259,
28711,
105444,"['JavaScript', 'HTML5', 'CSS 자바 스크립트']"
158527,"['Mobile App Design', 'Android', 'iOS', '앱 서버', 'React Native']"
157501,
125677,"['ObjectiveC', 'Swift', 'Rx']"
145745,"['Git', 'Linux', 'MySQL', 'JavaScript', 'SQL', 'TypeScript', 'AWS', 'Nest.js']"
136458,"['Flask', 'Pytorch', 'Tensorflow', 'Python', 'Data Analysis', 'API 개발', 'FastAPI', 'ML']"
131064,"['MATLAB', 'C#', 'Java', 'C', '소프트웨어 개발', 'C++']"
159845,"['Github', 'WebGL', 'Node.js', 'AWS', 'C++', 'Docker', 'ElasticSearch', 'Google Apps', 'Qt', 'React.js', 'Notion', 'Next.js', 'Nest.js']"
53890,"['Git', 'JIRA', 'Pytorch', 'React', 'Tensorflow', 'JavaScript', 'SQL', 'AWS', 'CUDA', 'OpenCV', 'ROS', 'Raspberry Pi']"
71124,"['Git', 'MySQL', 'React', 'Node.js', 'TypeScript', 'PostgreSQL', 'ORM']"
129878,
159212,
131432,"['Linux', 'Pytorch', 'Python', 'C']"
146865,"['React', 'VueJS', 'CSS', 'JavaScript', 'HTML5', 'JPA', 'JSTL', 'React.js']"
69885,
95777,
149542,"['C / C++', 'C#', 'Java', 'Python', 'OOP', 'C++', '검증', '임베디드 소프트웨어', 'Spring Framework', '테스트 실행', 'JPA', 'Simulink']"
161836,"['React', 'JavaScript', 'JSP', 'NodeJS', 'Vue.JS']"
112209,"['AngularJS', 'React', 'VueJS', 'CSS', 'JavaScript', 'TypeScript', 'HTML5', 'Next.js']"
148437,"['Git', 'Github', 'Android', 'Azure', 'iOS', 'Linux', 'MySQL', 'React', 'C / C++', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'ObjectiveC', 'PHP', 'Python', 'SQL', 'Swift', 'AWS', 'C++', 'REST', 'ISO', 'Docker', 'Shell Scripting', 'Spring Framework', 'JPA', 'Flutter', 'Kubernetes']"
152647,"['Git', 'Github', 'MATLAB', 'Linux', 'React', 'PHP', 'Python', 'C', 'AWS', 'C++', 'Spring Framework', 'Embedded Linux', 'ROS']"
150024,"['.NET', 'C#', 'CSS', 'HTML', 'JavaScript', 'MVC', 'MSSQL']"
125378,"['Github', 'Linux', 'Docker', 'PostgreSQL', 'Spring Framework', 'Gradle', 'Spring Boot']"
162028,"['PHP', 'MSSQL', 'Restful API']"
156999,"['NLP', 'ML']"
155879,
157302,"['Git', 'Github', 'Ethereum', 'Hyperledger', 'Java', 'JavaScript', 'TypeScript', 'Blockchain', 'AWS', 'Go', 'NodeJS', 'Golang', '백엔드 개발', 'Audit Command Language (ACL)', 'Restful API']"
158605,
60611,"['React', 'JavaScript', 'TypeScript', 'Redux']"
125807,
123470,"['Git', 'Github', 'GraphQL', 'Python', 'AWS', 'PostgreSQL']"
151612,"['Java', 'Python', 'Docker']"
134285,"['Android', 'MySQL', 'C#', 'Java', 'Node.js', 'PHP', 'Go', 'C++', 'API', '서버 아키텍처', 'iOS 개발', '프론트엔드 개발자', '백엔드 개발']"
139811,"['Git', 'Android', 'Linux', 'React', 'C / C++', 'HTML', 'Java', '펌웨어']"
164075,"['Git', 'TypeScript', 'React Native']"
112257,"['Github', 'GraphQL', 'Hadoop', 'MongoDB', 'MySQL', 'Pytorch', 'Redis', 'Spark', 'Tensorflow', 'Java', 'Kotlin', 'Node.js', 'ObjectiveC', 'Python', 'Ruby', 'Swift', 'TypeScript', 'Tableau', 'C', 'Go', 'C++', 'REST', 'Jenkins', 'Docker', 'ElasticSearch', 'React.js', 'Spring Boot', 'Kubernetes']"
146584,"['Git', 'Linux', 'Pytorch', 'Python', 'SQL', 'AWS']"
118132,"['MongoDB', 'Java', 'Kotlin', 'Python', 'Spring Framework']"
141865,"['Git', 'C++', 'API']"
136284,"['서비스 디자인', 'Android', 'iOS', 'React', 'JavaScript', 'Python', '브랜딩', 'AWS', 'NoSQL', 'Docker', '그래픽 디자인', 'Adobe Photoshop', 'Spring Framework', 'Adobe Illustrator', 'UI 디자인', 'Figma']"
163448,"['Github', 'WebGL', 'Node.js', 'AWS', 'C++', 'Docker', 'ElasticSearch', 'Google Apps', 'Qt', 'React.js', 'Notion', 'Next.js', 'Nest.js']"
159595,
155528,
161336,"['AngularJS', 'TypeScript']"
158178,
154790,
148653,"['AWS', 'BGP', 'Kubernetes']"
163369,"['Android', 'iOS', 'MySQL', 'Oracle', 'Java', 'JSP', 'Spring Boot']"
140834,"['Git', 'Github', 'Slack', 'React', 'JavaScript', 'Node.js', 'SQL', 'TypeScript', 'Docker', 'NodeJS', 'Visual Studio Code', 'Notion', 'Kubernetes', 'Next.js', 'Nest.js']"
142781,
71316,
150203,
121803,"['C / C++', 'Python', '3D 모델링', 'LiDAR']"
140055,
153075,"['Java', 'AWS', 'VM웨어', '가상화', 'Tomcat', 'Nginx', 'RAID']"
155945,"['JavaScript', 'TypeScript', 'React.js', 'React Native', 'Next.js']"
143022,"['Git', 'Github', 'iOS', 'Python', 'AWS', 'Spring Framework']"
58377,"['Django', 'MySQL', 'Python', 'AWS', 'Docker']"
142065,
137940,"['Azure', 'ASP .NET', 'C#', 'Java', 'Python']"
128026,"['Flask', 'React', 'Python', 'TypeScript', 'AWS', 'DNS', 'Docker', 'RDBMS', 'PostgreSQL', 'Spring Framework', 'JPA', 'Nginx', 'DBT', 'Spring Boot']"
160378,['Git']
26706,"['Firebase', 'Node.js', 'TypeScript', 'AWS', 'Docker', 'React Native', 'Kubernetes']"
61993,"['Git', 'Linux', 'MongoDB', 'MySQL', 'React', 'Redis', 'C / C++', 'CSS', 'HTML', 'Java', 'JavaScript', 'PHP', 'SQL', 'API', 'Docker', '컴퓨터 공학', 'CSS3', 'CSS 자바 스크립트', 'Spring Framework', 'Restful API']"
148009,
152197,"['Git', 'Linux', 'MongoDB', 'MySQL', 'React', 'Redis', 'C / C++', 'CSS', 'HTML', 'Java', 'JavaScript', 'PHP', 'SQL', 'API', 'Docker', '컴퓨터 공학', 'CSS3', 'CSS 자바 스크립트', 'Spring Framework', 'Restful API']"
155190,"['Android', 'iOS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Swift', 'PostgreSQL', 'Spring Framework']"
163075,
145806,"['Git', '.NET', 'React', 'ASP', 'C#', 'HTML', 'Java', 'JavaScript', 'AWS', 'jQuery', 'HTML5', 'NoSQL', 'Docker', 'DART for Publishers', 'Flutter']"
72383,
157479,"['Github', 'Android', 'Firebase', 'iOS', 'MySQL', 'Java', 'JavaScript', 'PHP', 'Python', 'AWS']"
141262,
