id,qualification,preferred,skills
159255,"['SQL', 'PYTHON']",['컴퓨터 공학'],"['Azure', '.NET', 'Python', 'Power BI', 'ETL', 'SSIS', 'SSAS']"
12031,"['개발', 'JAVASCRIPT', 'REDUX', 'HTML5', 'REACT', 'CSS']","['개발', '보안', '성능 측정', '최적화', 'JQUERY', '웹사이트']",
148874,"['CRM', '개발', 'HEROKU']","['웹 개발', 'JAVA']",
129476,"['개발', '컴퓨터 공학', 'ANDROID']","['개발', '통신', '제품 개발']","['Android', 'Linux', 'C / C++', 'Python', '프로토콜 개발']"
120496,"['개발', 'JAVA']","['개발', 'DOCKER', 'MYSQL', 'PYTHON', 'JUNIT', 'GITHUB', 'REDMINE', 'MAVEN', 'ASANA', 'SLACK', 'SPRING BOOT', 'C', 'AWS', 'GRADLE', 'B2B', 'GIT', 'NOTION', 'JAVA', 'JSP', 'RABBITMQ', 'JPA', '인프라', 'REDIS']",
120032,"['개발', 'NODEJS', 'API 개발']","['개발', 'API', '설계', '금융', 'SAAS']",
46154,"['개발', '컴퓨터 공학', 'ORACLE', 'UNIX', 'MYSQL', 'SPRING FRAMEWORK', 'LINUX']","['GIT', 'BOOTSTRAP', 'APACHE', 'TOMCAT']",
59566,"['HTML', '컴퓨터 공학', 'CSS', 'GITHUB']","['개발', 'API', '서버', 'TYPESCRIPT', 'ANGULAR', 'REST', 'REACT']","['AngularJS', 'React', 'VueJS', 'Node.js', 'TypeScript', 'AWS']"
160591,[],['개발'],"['소프트웨어 개발', '하드웨어', '하드웨어 설계', 'Arduino', '하드웨어 테스트']"
161337,"['소프트웨어 개발', 'JAVA', 'PERL', 'PYTHON', 'SHELL', '관리', 'JUNIT']",[],"['Android', 'Java', 'Kotlin', '안드로이드 개발', 'Flutter']"
149006,"['개발', 'RUBY', 'C', 'PYTHON', 'OBJECTIVEC', 'JAVASCRIPT', 'GO', 'PHP']","['MONGODB', 'GIT', 'GCP', 'DOCKER', 'AWS', 'PYTHON', 'MYSQL', 'REDIS']",['C / C++']
119929,"['SCALA', '개발', 'JAVA', 'AWS', 'PYTHON']","['DOCKER', '데이터베이스', 'KUBERNETES']",
153979,"['ETL', '개발', '데이터 마트', '설계']","['TENSORFLOW', '개발', 'ML', 'PYTORCH']","['Github', 'GraphQL', 'Hadoop', 'MongoDB', 'MySQL', 'Pytorch', 'Redis', 'Spark', 'Tensorflow', 'Java', 'Kotlin', 'Node.js', 'ObjectiveC', 'Python', 'Ruby', 'Swift', 'TypeScript', 'Tableau', 'C', 'Go', 'C++', 'REST', 'Jenkins', 'Docker', 'ElasticSearch', 'React.js', 'Spring Boot', 'Kubernetes']"
145355,"['개발', 'API', 'DJANGO', 'FLASK', 'PYTHON']","['TENSORFLOW', 'NLP', 'PYTORCH']","['보안', '정보 보안', '보안 관리']"
148327,"['개발', 'TYPESCRIPT', 'SVELTE', 'SPA', '제품 개발', 'REACT']","['SAAS', '제품 개발', '개발']","['Github', 'React', 'TypeScript', 'AWS', 'Docker', 'Next.js']"
72391,"['SWIFT', '최적화', '관리', 'GIT']","['METAL', '설계', '리팩토링', 'TDD', '영상', 'OPENGL', '최적화', 'MVVM', '카메라']",
129221,"['SQL', 'JAVA', 'LINUX']","['데이터베이스', 'OPENSTACK']",
53459,"['개발', 'SPRING BOOT', 'GIT', 'JAVA', 'AWS', 'PYTHON', '관리']","['개발', 'C', 'OOP', '설계', 'JAVA', '영상', 'PYTHON', 'GO', 'KUBERNETES']",
96350,"['개발', 'KOTLIN', 'SPRING BOOT', 'ORM', 'JAVA', 'JPA', '인프라', 'RDBMS', 'NOSQL', '모델링']","['개발', '리팩토링', 'TYPESCRIPT', 'NODEJS']","['React', 'CSS', 'HTML', 'JavaScript', 'TypeScript']"
144491,"['설계', '검증', '자동차', 'CAN']","['통신', 'CAN']","['C', 'C++']"
157947,"['개발', 'JAVA', 'IOS', 'ANDROID']",[],"['Android', 'iOS', 'Java', 'JavaScript', 'Spring Framework']"
117929,"['개발', '설계', 'AWS', 'MYSQL']","['설계', '개발']","['Sketch', 'Confluence', 'JIRA', 'Slack', 'Adobe XD', 'Figma', 'Notion']"
157455,"['개발', '설계']",['JIRA'],"['Git', 'Github', 'React', 'TypeScript', 'Flutter', 'Next.js']"
142318,['PYTHON'],[],"['C', 'C++']"
27693,"['API', '서버', 'KOTLIN', 'CONFLUENCE', 'GIT', 'ANDROID', 'COROUTINE', 'BITBUCKET', 'JENKINS', 'REST', 'JIRA']","['개발', 'FIREBASE', '설계', 'COROUTINE', 'ANDROID']","['JIRA', 'Java', 'jQuery', 'Jenkins', 'Spring Framework', 'IntelliJ IDEA', 'Vue.JS']"
121867,"['개발', '서버', 'JAVA', 'GO', 'LINUX']","['일본어', '개발', 'RUST', 'MONGODB', 'GIT', 'GCP', 'JAVA', 'AWS', 'GITLAB', 'REDIS', 'SPRING FRAMEWORK', 'JENKINS', 'GO']",
145903,[],[],"['Slack', 'Android', 'React', 'Java', 'Swift', 'Spring Boot', 'Flutter']"
78053,['개발'],[],
148044,"['SCALA', '개발', 'GCP', 'JAVA', 'AWS', 'BI', 'PYTHON']","['빅 데이터', '개발', 'POWER BI', 'SQL', 'VUEJS', 'JIRA', 'SPARK', 'ANGULAR', 'SLACK', 'NODEJS', '데이터 분석', 'BI', 'TABLEAU', 'TYPESCRIPT', 'CONFLUENCE', 'JAVA', 'GITLAB', 'REACT', '관리']",
110789,"['개발', 'PYTHON', 'DJANGO']","['POSTGRESQL', 'AWS', 'GRAPHQL']","['Git', 'Github', 'GraphQL', 'Python', 'AWS', 'PostgreSQL']"
155772,"['VISUAL STUDIO', 'MFC', 'C']",['개발'],"['Git', 'GitLab', 'C#', 'Python', '영상', 'OpenCV']"
164837,"['SPRING BOOT', 'APACHE', 'NODEJS', 'MONGODB', 'SPARK', 'MSSQL', 'NOSQL', 'MYSQL', 'SQL']","['서버', 'MONGODB', 'C', 'DOCKER', '설계', 'AWS', '시스템 구축', 'JENKINS', 'REDIS', 'SQL', 'KUBERNETES', '관리', 'JUNIT']","['Git', 'Github', 'MongoDB', 'MySQL', 'Pytorch', 'Scikit-Learn', 'JavaScript', 'Node.js', 'R', 'SQL', 'AWS', 'Jenkins', 'NoSQL', 'Apache', 'Docker', 'JUnit', 'MSSQL', 'Kubernetes']"
144766,"['개발', '서버', '컴퓨터 공학', 'B2C', '설계', 'AWS', '관리']","['NLP', 'ML']","['MySQL', 'Python', 'AWS', 'Spring Framework', 'JPA']"
85211,['개발'],"['개발', 'TYPESCRIPT', 'RUBY', 'REDUX', 'REACT']","['React', 'Ruby on Rails', 'Elixir', 'TypeScript', 'NodeJS']"
